 	MonetDB/SQL 			PostgreSQL 	MySQL
	stable 	current 	recycler 		
Q1 	6.2 [6.3] 	2.2 [2.2] 	0.8 [2.2] 	76 	41
Q2 	0.14 [0.2] 	0.07 [0.08] 	0.08 [0.16] 	1 	26
Q3 	2.6 [2.6] 	1.1 [1.0] 	0.01 [1.2] 	20 	16
Q4 	2.2 [2.2] 	0.9 [0.9] 	0.002 [0.9] 	1.2 	2.6
Q5 	1.3 [1.2] 	0.7 [0.8] 	0.002 [0.8] 	0.8 	27
Q6 	0.5 [0.5] 	0.2 [0.3] 	0.003 [0.3] 	5.2 	7
Q7 	1.8 [1.8] 	0.7 [0.8] 	0.2 [0.5] 	8.7 	8
Q8 	0.7 [0.7] 	0.4 [0.4] 	0.003 [0.2] 	6.9 	1.5
Q9 	1.7 [1.8] 	0.6 [0.6] 	0.04 [0.9] 	53 	11
Q10 	1.7 [1.7] 	0.7 [0.7] 	0.02 [0.8] 	0.9 	18
Q11 	0.2 [0.2] 	0.06 [0.06] 	0.06 [0.06] 	1.1 	0.5
Q12 	1.3 [1.3] 	0.6 [0.6] 	0.3 [0.7] 	7 	6.9
Q13 	8.1 [8.0] 	3.3 [3.3] 	1.0 [3.3] 	19.2 	9.9
Q14 	0.4 [0.3] 	0.2 [0.2] 	0.008 [0.2] 	5 	38
Q15 	0.3 [0.3] 	0.1 [0.2] 	0.03 [0.2] 	5 	13
Q16 	1.1 [1.1] 	0.5 [0.5] 	0.4 [0.5] 	12.9 	11
Q17 	1.3 [1.3] 	0.6 [0.6] 	0.006 [0.6] 		1.2
Q18 	1.7 [1.7] 	0.9 [0.9] 	0.004 [0.9] 	52 	
Q19 	3.6 [3.7] 	1.4 [1.4] 	1.3 [1.5] 	8 	0.327
Q20 	1.2 [1.2] 	0.4 [0.4] 	0.4 [0.4] 		0.4
Q21 	7.6 [7.6] 	2.2 [2.2] 	2.0 [0.4] 	49 	7.3
Q22 	0.7 [0.7] 	0.3 [0.4] 	0.4 [0.4] 	119m 	0.5
load 	3m30 	1m42 	1m42 	6m57 	3m10
